"Authors","Title","Publication","Volume","Number","Pages","Year","Publisher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thung, Ferdian; Lo, David; Jiang, Lingxiao; ","Diffusion","of","Software","Features:","An","Exploratory","Study",2012,"19th","Asia-Pacific","Software","Engineering","Conference",1,,"368-373",2012,"IEEE",,,,,,,,,,,,,,,,,,,,,
"Pinhey, Graham; ","Bug-Introducing","Changes:","A","Case","Study","with","Chrome",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim, Youngsoo; Jiang, Lingxiao; ","The","Learning","Curves","in","Open-Source","Software","(OSS)","Development","Network","Proceedings","of","the","Sixteenth","International","Conference","on","Electronic","Commerce",,,41,2014,"ACM",,,,,,,,,,,,,,,,
"BOEHME, MARCEL; ","Automated","Regression","Testing","and","Verification","of","Complex","Code","Changes",,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,
"Gómez, Verónica Uquillas; ","Introducing","Temporal","Logic","into","Declara-tive","Meta","Programming",,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davies, Steven; Roper, Marc; Wood, Murray; ","Strathprints","Institutional","Repository",,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hora, André Cavalcante; ","Assessing","and","Improving","Rules","to","Support","Software","Evolution",,,,,2014,"Université","Lille","1-Sciences","et","Technologies",,,,,,,,,,,,,,,,,,,,,
"Shippey, Thomas; Hall, Tracy; Counsell, Steve; Bowes, David; ","So","You","Need","More","Method","Level","Datasets","for","Your","Software","Defect","Prediction?:","Voilà!","Proceedings","of","the","10th","ACM/IEEE","International","Symposium","on","Empirical","Software","Engineering","and","Measurement",,,12,2016,"ACM",,,,,,,,
"Bhattacharya, Pamela; ","Quantitative","Decision-making","in","Software","Engineering",,,,,2012,"Citeseer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boogerd, Cathal; Moonen, Leon; ","Using","software","history","to","guide","deployment","of","coding","standards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim, Youngsoo; Jiang, Lingxiao; ","The","Knowledge","Accumulation","and","Transfer","in","Open-Source","Software","(OSS)","Development","System Sciences (HICSS), 2015 48th Hawaii International Conference on",,,"3811-3820",2015,"IEEE",,,,,,,,,,,,,,,,,,,,,,,
"Cook, Devin C; ","Augmenting","Traditional","Static","Analysis","With","Commonly","Available","Metadata",,,,,2015,"Auburn","University",,,,,,,,,,,,,,,,,,,,,,,,
"Alali, Abdulkareem; Sutton, Andrew; Maletic, Jonathan I; ","Combining","Effort-and","Time-Based","Methods","for","Improved","Detection","of","Logical","Coupling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pham, Cuong; Wang, Long; Tak, Byungchul; Baset, Salman; Tang, Chunqiang; Kalbarczyk, Zbigniew; Iyer, Ravishankar; ","Failure","Diagnosis","for","Distributed","Systems","using","Targeted","Fault","Injection",,,,,,"IEEE",,,,,,,,,,,,,,,,,,,,,,,,
