Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Oyetoyan, Tosin Daniel; Conradi, Reidar; Cruzes, Daniela Soares; ",Criticality of defects in cyclic dependent components,"Source Code Analysis and Manipulation (SCAM), 2013 IEEE 13th International Working Conference on",,,21-30,2013,IEEE
"Ayewah, Nathaniel; Pugh, William; ",Learning from defect removals,2009 6th IEEE International Working Conference on Mining Software Repositories,,,179-182,2009,IEEE
"Meneely, Andrew; Srinivasan, Harshavardhan; Musa, Ayemi; Tejeda, Alberto Rodríguez; Mokary, Matthew; Spates, Brian; ",When a patch goes bad: Exploring the properties of vulnerability-contributing commits,2013 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,,65-74,2013,IEEE
"Tantithamthavorn, Chakkrit; Teekavanich, Rattamont; Ihara, Akinori; Matsumoto, Ken-ichi; ",Mining A change history to quickly identify bug locations: A case study of the Eclipse project,"Software Reliability Engineering Workshops (ISSREW), 2013 IEEE International Symposium on",,,108-113,2013,IEEE
"Mauczka, Andreas; Schanes, Christian; Fankhauser, Florian; Bernhart, Mario; Grechenig, Thomas; ",Mining security changes in FreeBSD,2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010),,,90-93,2010,IEEE
"Romo, Bilyaminu Auwal; Capiluppi, Andrea; Hall, Tracy; ",Filling the gaps of development logs and bug issue data,Proceedings of The International Symposium on Open Collaboration,,,8,2014,ACM
"李宁; 李战怀; ",软件缺陷数据处理研究综述,计算机科学,36,8,21-25,2009,
"Wang, Shaohua; Khomh, Foutse; Zou, Ying; ",Improving bug management using correlations in crash reports,Empirical Software Engineering,21,2,337-367,2016,Springer
"Khomh, Foutse; Adams, Bram; Dhaliwal, Tejinder; Zou, Ying; ",Understanding the impact of rapid releases on software quality,Empirical Software Engineering,20,2,336-373,2015,Springer
"Canfora, Gerardo; Lucia, Andrea De; Penta, Massimiliano Di; Oliveto, Rocco; Panichella, Annibale; Panichella, Sebastiano; ",Defect prediction as a multiobjective optimization problem,"Software Testing, Verification and Reliability",25,4,426-459,2015,Wiley Online Library
